event_id_cnty,event_date,year,disorder_type,event_type,sub_event_type,actor1,actor2,country,admin1,admin2,location,latitude,longitude,source,notes,fatalities,has_fatalities,event_week,event_month
LBN33419,2025-03-04,2025,Demonstrations,Protests,Peaceful protest,Protesters (Lebanon),Unknown,Lebanon,Beirut,Beirut,Beirut - Port,33.8982,35.5074,Akhbar al Saha; Lebanon24,"On 4 March 2025, families of the victims of the Beirut Port explosion carried out a protest in Beirut - Port (Beirut, Beirut) calling on authorities to complete their investigation into the Beirut Port explosion.",0,False,2025-03-03/2025-03-09,2025-03
UKR211456,2025-03-04,2025,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),Ukraine,Donetsk,Pokrovskyi,Dachenske,48.2129,37.2195,Institute for the Study of War,"On 4 March 2025, Russian Forces launched assault actions on Ukrainian positions near Dachenske, Donetsk. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
BRA95378,2025-03-04,2025,Political violence,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Brazil,Goias,Valparaiso de Goias,Valparaiso de Goias,-16.0669,-47.9836,Correio Braziliense,"Around 4 March 2025 (as reported), in Valparaiso de Goias (Goias), a woman was killed by unknown individuals and her partially burnt body was found in the Jardim Ceu Azul neighborhood. The circumstances of death are unknown. 1 fatality.",1,True,2025-03-03/2025-03-09,2025-03
CAN7896,2025-03-04,2025,Demonstrations,Protests,Peaceful protest,Protesters (Canada),Unknown,Canada,British Columbia,Metro Vancouver,Richmond,49.1666,-123.1336,CTV News,"On 4 March 2025, rideshare and food delivery drivers, including Uber drivers, rallied outside Vancouver International Airport in Richmond (British Columbia) to demand better pay and working conditions.",0,False,2025-03-03/2025-03-09,2025-03
UKR211517,2025-03-04,2025,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),Ukraine,Kharkiv,Iziumskyi,Zahryzove,49.5046,37.7122,Institute for the Study of War,"On 4 March 2025, Russian Forces launched assault actions on Ukrainian positions near Zahryzove, Kharkiv. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
CAO16696,2025-03-04,2025,Political violence,Violence against civilians,Abduction/forced disappearance,Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Civilians (Cameroon),Cameroon,Extreme-Nord,Mayo-Sava,Kerawa,11.1842,13.9142,Undisclosed Source,"On 4 March 2025, Boko Haram (JAS) (likely) militants abducted 2 children pastoralists in Kerawa (Kolofata, Mayo-Sava, Extreme-Nord) for an unknown reason. The militants also looted several cows.",0,False,2025-03-03/2025-03-09,2025-03
UKR211516,2025-03-04,2025,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),Ukraine,Donetsk,Pokrovskyi,Yelyzavetivka,48.3035,37.4493,Institute for the Study of War; Ministry of Defence of Russia,"On 4 March 2025, Russian Forces clashed with Ukrainian Forces near Yelyzavetivka, Donetsk. According to Russian sources, 600 Ukrainian soldiers were killed in the area of Oleksiivka, Novopavlivka, Pokrovsk, Zvirove, Kotlyne, Uspenivka, Udachne, Yelyzavetivka, Petrivske, Myrnohrad, Myroliubivka, Zelene and Sribne [Russian MoD reported 600 fatalities. Coded as 10 fatalities split across 13 events. 1 fatality coded to this event].",1,True,2025-03-03/2025-03-09,2025-03
UKR211515,2025-03-04,2025,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),Ukraine,Donetsk,Kramatorskyi,Yampolivka,49.0708,37.9546,Institute for the Study of War; Ministry of Defence of Ukraine,"On 4 March 2025, Russian Forces launched assault actions on Ukrainian positions near Yampolivka, Donetsk. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
BRA95425,2025-03-04,2025,Demonstrations,Riots,Violent demonstration,Rioters (Brazil),Unknown,Brazil,Amazonas,Manaus,Manaus,-3.1019,-60.025,Portal do Holanda,"On 4 March 2025, in Manaus - East Zone (Amazonas), residents in the Zumbi dos Palmares neighborhood blocked an avenue by setting obstacles on fire to demonstrate against the flooding of the neighborhood. They also demanded justice for the case of a man who was crossing a bridge that collapsed due to the flood. The man disappeared.",0,False,2025-03-03/2025-03-09,2025-03
BUR11996,2025-03-04,2025,Political violence,Violence against civilians,Sexual violence,CNDD-FDD-Imbonerakure: National Council for the Defence of Democracy (Imbonerakure Faction),Civilians (Burundi),Burundi,Rumonge,Rumonge,Kanenge,-4.1258,29.5256,Ligue Iteka,"On 4 March 2025, a Imbonerakure element raped a 15-year old girl in Kanenge hill (Kanenge, Rumonge, Rumonge). Assailant was arrested and detained by police.",0,False,2025-03-03/2025-03-09,2025-03
BRA95393,2025-03-04,2025,Political violence,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Brazil,Paraiba,Joao Pessoa,Joao Pessoa,-7.115,-34.8631,Portal T5,"On 4 March 2025, in Joao Pessoa (Paraiba), two unidentified armed suspects shot and killed a man in the Rangel neighborhood. The suspects broke into the victim's house and fired over 20 times against him, escaping afterwards. The victim's wife was in the house at the moment of the attack but she was not harmed. The authorship and motivations for the attack are unknown. 1 fatality.",1,True,2025-03-03/2025-03-09,2025-03
UKR211514,2025-03-04,2025,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),Ukraine,Kharkiv,Chuhuivskyi,Vovchansk,50.2908,36.9411,Institute for the Study of War; Ministry of Defence of Russia; Ministry of Defence of Ukraine,"On 4 March 2025, Russian Forces launched assault actions on Ukrainian positions near Vovchansk, Kharkiv. According to Russian sources, 40 Ukrainian soldiers, including from territorial defense units (coded to Vovchansk), were killed in the area of Vovchansk, Lobanivka, Kozacha Lopan and Veterynarne [Russian MoD reported 40 fatalities. Coded as 10 fatalities split across 4 events. 3 fatalities coded to this event].",3,True,2025-03-03/2025-03-09,2025-03
BUR11988,2025-03-04,2025,Strategic developments,Strategic developments,Arrests,Police Forces of Burundi (2005-),Civilians (Burundi),Burundi,Makamba,Nyanza Lac,Bukeye,-4.3333,29.6333,SOS Medias,"On 4 March 2025, police forces with support from the military arrested 315 young men, including day laborers and bicycle taxi drivers, in Bukeye locality (Bukeye, Nyanza lac, Makamba), during identity paper checks while civilians were leaving their homes. Some arrested were released after paying a fine. The arrests follow a new administrative rule mandating households to keep a record of all residents.",0,False,2025-03-03/2025-03-09,2025-03
UKR211513,2025-03-04,2025,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),Ukraine,Donetsk,Kramatorskyi,Vodiane Druhe,48.3357,37.5056,Institute for the Study of War,"On 4 March 2025, Russian Forces launched assault actions on Ukrainian positions near Vodiane Druhe, Donetsk. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
MEX100607,2025-03-04,2025,Strategic developments,Strategic developments,Looting/property destruction,Military Forces of Mexico (2018-),Unidentified Gang (Mexico),Mexico,Nayarit,El Nayar,Mesa de Nayar,22.2148,-104.6507,Milenio,"Property destruction: Around 4 March 2025 (as reported), close to Mesa de Nayar, Nayarit, Navy officers seized five poppy plantations with approximately 438,000 poppy plants.",0,False,2025-03-03/2025-03-09,2025-03
UKR211511,2025-03-04,2025,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),Ukraine,Donetsk,Volnovaskyi,Vesele,47.9327,36.762,Institute for the Study of War,"On 4 March 2025, Russian Forces launched assault actions on Ukrainian positions near Vesele, Donetsk. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
UKR211508,2025-03-04,2025,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),Ukraine,Donetsk,Pokrovskyi,Udachne,48.2405,36.9911,Institute for the Study of War; Ministry of Defence of Russia,"On 4 March 2025, Russian Forces clashed with Ukrainian Forces near Udachne, Donetsk. According to Russian sources, 600 Ukrainian soldiers were killed in the area of Oleksiivka, Novopavlivka, Pokrovsk, Zvirove, Kotlyne, Uspenivka, Udachne, Yelyzavetivka, Petrivske, Myrnohrad, Myroliubivka, Zelene and Sribne [Russian MoD reported 600 fatalities. Coded as 10 fatalities split across 13 events. 1 fatality coded to this event].",1,True,2025-03-03/2025-03-09,2025-03
UKR211507,2025-03-04,2025,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),Ukraine,Donetsk,Bakhmutskyi,Toretsk,48.3934,37.8453,Institute for the Study of War; Ministry of Defence of Ukraine,"On 4 March 2025, Russian Forces launched assault actions on Ukrainian positions near Toretsk, Donetsk. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
MEX100626,2025-03-04,2025,Political violence,Battles,Armed clash,Unidentified Armed Group (Mexico),Police Forces of Mexico (2018-) State Police,Mexico,Nuevo Leon,Linares,Linares,24.8597,-99.5679,El Norte,"On 4 March 2025, in Linares, Nuevo Leon, unidentified individuals shot at State Civil Guard officers who approached them and repelled the aggression. The individuals fled and abandoned three vans, which were seized together with four fire weapons, tactical vests, and 18 'ponchallantas' (objects to puncture tires). Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
BRA95392,2025-03-04,2025,Political violence,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Brazil,Minas Gerais,Belo Horizonte,Belo Horizonte,-19.9208,-43.9378,Estado de Minas,"Around 4 March 2025 (as reported), in Belo Horizonte (Minas Gerais), a man was killed by unknown individuals and his burnt body was found in the Mantiqueira neighborhood. The circumstances of death are unknown. 1 fatality.",1,True,2025-03-03/2025-03-09,2025-03
MEX100431,2025-03-04,2025,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),Unknown,Mexico,Chiapas,Pantelho,Pantelho,17.0056,-92.4717,La Jornada,"On 4 March 2025, in the municipality of Pantelho, Chiapas, residents and members of the Tzotzil indigenous community (coded to Maya indigenous group) demonstrated in Las Limas Chixtontik together with other communities and blocked the passage of a convoy from the military against the administration accused of violence in 2021.",0,False,2025-03-03/2025-03-09,2025-03
MEX100428,2025-03-04,2025,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),Unknown,Mexico,Campeche,Carmen,Ciudad del Carmen,18.6378,-91.8365,Tribuna Campeche,"On 4 March 2025, in the municipality of Carmen, Campeche (coded to Ciudad del Carmen), residents of several communities protested at the entrance to the photovoltaic park La Pimienta to denounce that the hiring of a foreign investment company has marginalized local labor due to foreign personnel and demanded the right to work.",0,False,2025-03-03/2025-03-09,2025-03
MEX100638,2025-03-04,2025,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),Unknown,Mexico,Oaxaca,Oaxaca de Juarez,Oaxaca de Juarez,17.06,-96.7255,Milenio,"On 4 March 2025, in Oaxaca de Juarez, Oaxaca, relatives of an activist protested to demand answers about the whereabouts of the missing woman outside the Government Palace and accused the government in the involvement in the disappearance of the activist.",0,False,2025-03-03/2025-03-09,2025-03
UKR211506,2025-03-04,2025,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),Ukraine,Donetsk,Kramatorskyi,Stupochky,48.5365,37.827,Institute for the Study of War; Ministry of Defence of Ukraine,"On 4 March 2025, Russian Forces launched assault actions on Ukrainian positions near Stupochky, Donetsk. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
UKR211505,2025-03-04,2025,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),Ukraine,Zaporizhia,Polohivskyi,Stepove,47.7117,36.5954,Institute for the Study of War; Ministry of Defence of Ukraine; Suspilne Media,"On 4 March 2025, Russian Forces, supported by air force, launched assault actions on Ukrainian forces near Stepove, Zaporizhia. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
UKR211503,2025-03-04,2025,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),Ukraine,Donetsk,Volnovaskyi,Skudne,47.9095,36.7981,Institute for the Study of War,"On 4 March 2025, Russian Forces launched assault actions on Ukrainian positions near Skudne, Donetsk. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
UKR211509,2025-03-04,2025,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),Ukraine,Donetsk,Volnovaskyi,Ulakly,47.9974,37.0851,Institute for the Study of War; Ministry of Defence of Ukraine,"On 4 March 2025, Russian Forces launched assault actions on Ukrainian positions near Ulakly, Donetsk. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
UKR211502,2025-03-04,2025,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),Ukraine,Donetsk,Bakhmutskyi,Siversk,48.8726,38.096,Ministry of Defence of Russia,"On 4 March 2025, Russian Forces clashed with Ukrainian Forces near Siversk, Donetsk. According to Russian sources, 245 Ukrainian soldiers, including from territorial defense units (coded to Pleshchiivka), were killed in the area of Pleshchiivka, Shevchenko, Dyliivka, Krymske, Siversk, Oleksandropil, Minkivka and Kostiantynivka [Russian MoD reported 245 fatalities. Coded as 10 fatalities split across 8 events. 1 fatality coded to this event].",1,True,2025-03-03/2025-03-09,2025-03
BRA95395,2025-03-04,2025,Political violence,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Brazil,Para,Obidos,Obidos,-1.9014,-55.5213,G1,"Around 4 March 2025 (as reported), in the rural area of Obidos municipality (Para), a man was killed by unknown individuals and his body was found in the Igarape-Acu region with his hands tied up. The circumstances of death are unknown. 1 fatality.",1,True,2025-03-03/2025-03-09,2025-03
MEX100443,2025-03-04,2025,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Civilians (Mexico),Mexico,Chihuahua,Guachochi,Ochoachi,26.7655,-107.0847,La Jornada,"Around 4 March 2025 (between 4 - 5 March), in Ochoachi, Chihuahua, a man was killed and his body was found. The victim was abducted in Chihuahua on 4 March 2025 and his body was found in Ochoachi on 5 March 2025. Three men were arrested. 1 fatality.",1,True,2025-03-03/2025-03-09,2025-03
MEX100516,2025-03-04,2025,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),Unknown,Mexico,Guerrero,Acapulco de Juarez,Los Organos de San Agustin,16.9355,-99.8219,La Jornada,"On 4 March 2025, in Los Organos de San Agustin, Guerrero, family members and patients protested at the Acapulco General Hospital in El Quemado to demand the installation of two specialists at the hospital.",0,False,2025-03-03/2025-03-09,2025-03
MEX100477,2025-03-04,2025,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Civilians (Mexico),Mexico,Colima,Comala,La Nogalera,19.3918,-103.7058,Colima Noticias,"Around 4 March 2025 (month of), close to La Nogalera, Colima, a person was killed and the body was found wrapped in a plastic bag in a state of decomposition. 1 fatality.",1,True,2025-03-03/2025-03-09,2025-03
CAO16718,2025-03-04,2025,Strategic developments,Strategic developments,Looting/property destruction,Islamic State West Africa Province (ISWAP) and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Civilians (Cameroon),Cameroon,Extreme-Nord,Logone-et-Chari,Tchika,12.7842,14.2731,Undisclosed Source,"Looting: On 4 March 2025, ISWAP or Boko Haram militants collected money, from pastoralists in Doutche (Hile-Alifa, Logone-et-Chari, Extreme-Nord) as taxes for livestock farming in a grazing area.",0,False,2025-03-03/2025-03-09,2025-03
MEX100524,2025-03-04,2025,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),Unknown,Mexico,Guerrero,Chilpancingo de los Bravo,Chilpancingo de los Bravo,17.5516,-99.5011,La Jornada,"On 4 March 2025, in Chilpancingo de los Bravo, Guerrero, around 5000 transportation drivers from different communities protested to demand an audience with the state government to address unresolved issues related to the aftermath of hurricanes Otis and John. These issues include petitions for infrastructure and community works that have been pending for a year. The demonstrators, who carried sticks, machetes and covered their hands and faces, also denounced that they were forced to demonstrate by the Los Ardillos Gang.",0,False,2025-03-03/2025-03-09,2025-03
MEX100473,2025-03-04,2025,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Mexico),Civilians (Mexico),Mexico,Coahuila de Zaragoza,San Pedro,San Pedro de las Colonias,25.7578,-102.9832,Milenio,"On 4 March 2025, in San Pedro de las Colonias, Coahuila de Zaragoza, at least eight men attacked a man and stabbed him several times and shot in an arm inside his home in Colonia San Jose. The man was injured.",0,False,2025-03-03/2025-03-09,2025-03
CAO16715,2025-03-04,2025,Political violence,Riots,Mob violence,Rioters (Cameroon),Rioters (Cameroon),Cameroon,Extreme-Nord,Logone-Et-Chari,Dougoum,12.286,14.7668,Undisclosed Source,"On 4 March 2025, farmers and pastoralists clashed with knives in the Dougoum (Dougoumo) (Makary, Logone-et-Chari, Extreme-Nord) over a grazing issue. The farmers accused the pastoralists of allowing their livestock to graze on their farmland. There were no fatalities, 2 pastoralists, and 1 farmer were injured.",0,False,2025-03-03/2025-03-09,2025-03
MEX100455,2025-03-04,2025,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),Unknown,Mexico,Ciudad de Mexico,Cuauhtemoc,Ciudad de Mexico - Cuauhtemoc,19.4313,-99.1531,El Universal (Mexico); La Jornada,"On 4 March 2025, in Ciudad de Mexico - Cuauhtemoc, around 2000 market vendors protested at the Zocalo to demand modifications to the regulatory framework governing market vendors, ensuring standardized procedures across all municipalities for regularization, registration, and the issuance of rights and permits.",0,False,2025-03-03/2025-03-09,2025-03
BRA95415,2025-03-04,2025,Political violence,Riots,Mob violence,Rioters (Brazil),Unidentified Armed Group (Brazil),Brazil,Pernambuco,Altinho,Altinho,-8.4904,-36.0607,Folha PE; G1; Portal Agreste Violento,"On 4 March 2025, in Altinho (Pernambuco), a group of people lynched two men during a carnival party. The men had just shot and killed two people and exchanged fire with an unidentified armed individual (coded separately) when the group caught them and lynched them. 2 fatalities.",2,True,2025-03-03/2025-03-09,2025-03
MEX100525,2025-03-04,2025,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),Unknown,Mexico,Guerrero,Chilpancingo de los Bravo,Chilpancingo de los Bravo,17.5516,-99.5011,El Sol de Acapulco; Milenio,"On 4 March 2025, in Chilpancingo de los Bravo, Guerrero, for the second consecutive day, more than 100 normalista students of Raul Isidro Burgos school and members of the Federation of Socialist Peasant Students of Mexico (FECSM) protested outside the State Congress to demand justice for a student who was killed by state police officers in 2024.",0,False,2025-03-03/2025-03-09,2025-03
MEX100535,2025-03-04,2025,Political violence,Violence against civilians,Attack,Unidentified Gang (Mexico),Civilians (Mexico),Mexico,Guerrero,Tecoanapa,Tecoanapa,16.9875,-99.2588,La Jornada,"On 4 March 2025, in Tecoanapa, Guerrero, unknown armed individuals entered a home and shot the former community councilor of the UPOEG to death in Colonia San Juan. The victim also collaborated in Radio Esmeralda and in the news portal 'Aqui Tecoanapa'. 1 fatality.",1,True,2025-03-03/2025-03-09,2025-03
UKR211518,2025-03-04,2025,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),Ukraine,Kharkiv,Kupianskyi,Zapadne,49.8219,37.6145,Deep State,"On 4 March 2025, Ukrainian Forces repelled attacks by Russian Forces near Zapadne, Kharkiv. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
MEX100540,2025-03-04,2025,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),Unknown,Mexico,Hidalgo,Ixmiquilpan,Ixmiquilpan,20.4849,-99.2188,La Silla Rota,"On 4 March 2025, in Ixmiquilpan, Hidalgo, neighbors of different neighborhoods protested at Plaza Juarez outside the government palace to demand solutions for agrarian titles and problems with their deeds.",0,False,2025-03-03/2025-03-09,2025-03
MEX100548,2025-03-04,2025,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),Unknown,Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,La Jornada,"On 4 March 2025, in Guadalajara, Jalisco, more than 2000 union members of the Intermunicipal System of Drinking Water and Sewerage Services (SIAPA) protested outside the Government Palace to demand improvements in their working, salary and operational conditions due to the lack of equipment, materials, tools and vehicles to carry out their work.",0,False,2025-03-03/2025-03-09,2025-03
MEX100573,2025-03-04,2025,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),Unknown,Mexico,Mexico,Toluca,Toluca de Lerdo,19.2935,-99.6573,Milenio,"On 4 March 2025, in Toluca de Lerdo, Mexico, members of teachers organizations led by the UPREZ protested in the downtown area to demand solutions to their demands regarding their labor rights.",0,False,2025-03-03/2025-03-09,2025-03
MEX100578,2025-03-04,2025,Strategic developments,Strategic developments,Looting/property destruction,Police Forces of Mexico (2018-) Ministerial Federal Police,Unidentified Gang (Mexico),Mexico,Michoacan de Ocampo,Apatzingan,San Jose Nuevo,18.8868,-102.2735,La Silla Rota,"Property destruction: On 4 March 2025, close to San Jose Nuevo, Michoacan de Ocampo, ministerial federal and state police officers located and dismantled a narco laboratory with more than 400 kilos of meth, 10 reactors, 25 gas tanks, among other.",0,False,2025-03-03/2025-03-09,2025-03
MEX100588,2025-03-04,2025,Demonstrations,Protests,Peaceful protest,Protesters (Mexico),Unknown,Mexico,Michoacan de Ocampo,Morelia,Morelia,19.7034,-101.192,La Voz de Michoacan,"On 4 March 2025, in Morelia, Michoacan de Ocampo, residents of Villas del Pedregal protested and detained several urban bus units against the refusal of transportation drivers to allow new routes in the area which would provide solutions to the lack of sufficient transportation in several parts of the city.",0,False,2025-03-03/2025-03-09,2025-03
CAO16706,2025-03-04,2025,Political violence,Violence against civilians,Attack,Islamic State West Africa Province (ISWAP) and/or Boko Haram - Jamaatu Ahli is-Sunnah lid-Dawati wal-Jihad,Civilians (Cameroon),Cameroon,Extreme-Nord,Logone-et-Chari,Makary,12.5753,14.4548,Undisclosed Source,"On 4 March 2025, ISWAP or Boko Haram militants attacked, killed 5 civilians, and injured 1 at Ndili village in the Makary commune (Makary, Logone-et- Chari, Extreme-Nord). The militants also looted foodstuff.",5,True,2025-03-03/2025-03-09,2025-03
UKR211521,2025-03-04,2025,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),Ukraine,Donetsk,Pokrovskyi,Zvirove,48.2502,37.126,Ministry of Defence of Russia,"On 4 March 2025, Russian Forces clashed with Ukrainian Forces near Zvirove, Donetsk. According to Russian sources, 600 Ukrainian soldiers were killed in the area of Oleksiivka, Novopavlivka, Pokrovsk, Zvirove, Kotlyne, Uspenivka, Udachne, Yelyzavetivka, Petrivske, Myrnohrad, Myroliubivka, Zelene and Sribne [Russian MoD reported 600 fatalities. Coded as 10 fatalities split across 13 events. 1 fatality coded to this event].",1,True,2025-03-03/2025-03-09,2025-03
BRA95396,2025-03-04,2025,Political violence,Violence against civilians,Attack,Unidentified Gang and/or Police Militia,Civilians (Brazil),Brazil,Espirito Santo,Vila Velha,Vila Velha,-20.3467,-40.3019,ES Hoje; Tribuna Online,"Around 4 March 2025 (as reported), in Vila Velha (Espirito Santo), a man was killed by unknown individuals and his body was found in the Sao Torquato neighborhood with a knife on his neck and with his hands tied up with chains. The victim was the brother of a drug trafficker. The circumstances of death are unknown. 1 fatality.",1,True,2025-03-03/2025-03-09,2025-03
UKR211520,2025-03-04,2025,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),Ukraine,Donetsk,Kramatorskyi,Zelene Pole,48.3294,37.5767,Institute for the Study of War,"On 4 March 2025, Russian Forces launched assault actions on Ukrainian positions near Zelene Pole, Donetsk. Casualties unknown.",0,False,2025-03-03/2025-03-09,2025-03
CAO16701,2025-03-04,2025,Political violence,Battles,Armed clash,Unidentified Armed Group (Cameroon),Military Forces of Cameroon (1982-),Cameroon,Extreme-Nord,Mayo-Sava,Mora,11.0485,14.1476,Undisclosed Source,"On 4 March 2025, the military forces clashed and repelled an attack by an unidentified armed group in the Massare Total neighborhood in Mora (Mora, Mayo-Tsanaga, Extreme-Nord) when the armed group attempted to loot a civilian at his private residence. There were no fatalities.",0,False,2025-03-03/2025-03-09,2025-03
UKR211519,2025-03-04,2025,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),Ukraine,Donetsk,Pokrovskyi,Zelene,48.2151,37.1957,Ministry of Defence of Russia,"On 4 March 2025, Russian Forces clashed with Ukrainian Forces near Zelene, Donetsk. According to Russian sources, 600 Ukrainian soldiers were killed in the area of Oleksiivka, Novopavlivka, Pokrovsk, Zvirove, Kotlyne, Uspenivka, Udachne, Yelyzavetivka, Petrivske, Myrnohrad, Myroliubivka, Zelene and Sribne [Russian MoD reported 600 fatalities. Coded as 10 fatalities split across 13 events. 0 fatalities coded to this event].",0,False,2025-03-03/2025-03-09,2025-03
MEX100547,2025-03-04,2025,Political violence,Violence against civilians,Attack,Unidentified Gang (Mexico),Civilians (Mexico),Mexico,Jalisco,Guadalajara,Guadalajara,20.6764,-103.3422,El Norte; Mural,"Around 4 March 2025 (as reported), in Guadalajara, Jalisco, two men abducted a man and hit and injured him in a house on Chamizal avenue, in Colonia Electricistas. Municipal police officers arrested the perpetrators, seized a fireweapon and released the tied victim on 4 March 2025. 1 injured.",0,False,2025-03-03/2025-03-09,2025-03
UKR211501,2025-03-04,2025,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),Ukraine,Donetsk,Pokrovskyi,Shevchenko,48.22,37.1453,Ministry of Defence of Russia,"On 4 March 2025, Russian Forces clashed with Ukrainian Forces near Shevchenko, Donetsk. According to Russian sources, 245 Ukrainian soldiers, including from territorial defense units (coded to Pleshchiivka), were killed in the area of Pleshchiivka, Shevchenko, Dyliivka, Krymske, Siversk, Oleksandropil, Minkivka and Kostiantynivka [Russian MoD reported 245 fatalities. Coded as 10 fatalities split across 8 events. 2 fatalities coded to this event].",2,True,2025-03-03/2025-03-09,2025-03
UKR211500,2025-03-04,2025,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),Ukraine,Donetsk,Kramatorskyi,Shandryholovo,49.0908,37.7211,Ministry of Defence of Russia,"On 4 March 2025, Russian Forces clashed with Ukrainian Forces near Shandryholovo, Donetsk. According to Russian sources, 200 Ukrainian soldiers were killed in the area of Nove, Kupiansk, Pidvysoke, Shandryholovo, Novoliubivka and Serebrianka [Russian MoD reported 200 fatalities. Coded as 10 fatalities split across 6 events. 2 fatalities coded to this event].",2,True,2025-03-03/2025-03-09,2025-03
UKR211499,2025-03-04,2025,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),Ukraine,Donetsk,Pokrovskyi,Serhiivka,48.2189,37.4135,Institute for the Study of War; Ministry of Defence of Ukraine,"On 4 March 2025, Russian Forces launched assault actions on Ukrainian positions near Serhiivka, Donetsk. 101 Russian soldiers were killed and 124 Russian soldiers were injured in the area of Promin, Lysivka, Serhiivka, Andriivka and Oleksiivka (coded as 101 fatalities split across 5 events. 20 fatalities coded to this event). Ukrainian Forces destroyed 5 vehicles, 5 UAV control antennas, an anti-drone gun and 5 satellite terminals of Russian Forces in Pokrovsk direction.",20,True,2025-03-03/2025-03-09,2025-03
UKR211476,2025-03-04,2025,Political violence,Battles,Armed clash,Military Forces of Russia (2000-),Military Forces of Ukraine (2019-),Ukraine,Donetsk,Pokrovskyi,Myrnohrad,48.2959,37.2704,Ministry of Defence of Russia,"On 4 March 2025, Russian Forces clashed with Ukrainian Forces near Myrnohrad, Donetsk. According to Russian sources, 600 Ukrainian soldiers were killed in the area of Oleksiivka, Novopavlivka, Pokrovsk, Zvirove, Kotlyne, Uspenivka, Udachne, Yelyzavetivka, Petrivske, Myrnohrad, Myroliubivka, Zelene and Sribne [Russian MoD reported 600 fatalities. Coded as 10 fatalities split across 13 events. 1 fatality coded to this event].",1,True,2025-03-03/2025-03-09,2025-03
